#{"t_start": 1684358533.0692818, "env_id": null}
r,l,t
22,22,55.21034
13,13,61.611757
15,15,67.776049
13,13,74.292858
13,13,80.775927
1,1,82.533821
11,11,89.025882
12,12,95.376269
5,5,101.909632
15,15,108.416968
14,14,115.366497
16,16,121.799416
12,12,128.257652
16,16,134.375244
13,13,140.791032
13,13,147.466411
13,13,153.740679
12,12,159.849198
18,18,167.026829
13,13,173.240984
13,13,179.657104
11,11,185.957141
15,15,192.464994
20,20,200.127755
16,16,206.589378
16,16,213.031831
15,15,220.722695
16,16,228.113993
22,22,236.612486
11,11,242.831216
15,15,249.296879
16,16,255.495049
15,15,262.599985
13,13,268.837881
13,13,275.36381
16,16,281.879294
16,16,289.304371
22,22,297.155232
17,17,303.554713
14,14,309.662921
14,14,316.170482
21,21,325.469851
12,12,331.77002
14,14,338.162437
11,11,344.529372
19,19,351.761498
16,16,357.896314
13,13,364.190579
15,15,370.394022
12,12,376.519669
20,20,384.227424
12,12,390.32791
20,20,397.619154
13,13,404.152126
12,12,410.577392
13,13,416.660135
14,14,422.844048
20,20,431.70996
16,16,438.101739
18,18,445.117675
12,12,451.500681
11,11,457.733925
24,24,466.627797
13,13,473.142602
11,11,479.363761
11,11,485.80874
16,16,492.157802
13,13,498.699822
12,12,505.243155
16,16,511.650327
12,12,518.02409
17,17,525.899826
14,14,532.157253
21,21,541.24024
13,13,547.364681
12,12,553.467259
15,15,560.093363
13,13,566.556003
16,16,572.681744
13,13,579.222684
16,16,585.356121
18,18,592.631436
16,16,599.78994
14,14,606.122958
21,21,614.156345
17,17,620.305099
14,14,626.804506
13,13,633.30543
10,10,639.422249
13,13,645.763852
12,12,652.04229
13,13,658.112681
12,12,664.446166
12,12,670.812093
15,15,678.039649
12,12,684.387318
18,18,691.820213
13,13,698.019891
13,13,704.286999
18,18,711.586663
14,14,717.761761
14,14,724.148036
15,15,730.44467
16,16,736.954094
14,14,743.352883
12,12,749.436138
19,19,758.635853
18,18,765.527773
10,10,771.788347
12,12,778.075248
12,12,784.510127
26,26,794.109704
12,12,800.484741
16,16,806.99358
12,12,813.094108
15,15,819.500283
16,16,826.976466
37,37,841.592268
15,15,847.808668
11,11,854.317
14,14,860.46663
16,16,867.01662
16,16,874.007912
16,16,880.11904
15,15,886.724878
13,13,892.843651
15,15,899.115902
16,16,905.151734
23,23,914.332329
13,13,920.574941
18,18,930.097913
16,16,937.331517
15,15,943.882198
12,12,950.365473
15,15,956.56493
16,16,962.706385
12,12,968.84294
13,13,975.222917
14,14,981.572646
15,15,988.12225
13,13,994.213981
15,15,1001.313339
17,17,1009.179819
16,16,1016.546271
15,15,1022.887466
13,13,1029.213273
15,15,1035.730761
20,20,1043.296827
16,16,1049.431833
15,15,1055.51247
16,16,1063.711987
15,15,1071.494879
14,14,1077.65356
14,14,1083.770586
17,17,1090.328303
14,14,1096.786202
18,18,1104.147651
12,12,1110.569828
21,21,1118.819971
13,13,1124.927347
13,13,1131.279422
12,12,1137.968747
13,13,1144.193987
14,14,1150.610331
14,14,1157.002575
21,21,1167.45134
11,11,1173.83529
12,12,1180.092602
20,20,1187.618016
20,20,1195.642808
16,16,1203.600523
13,13,1210.101117
12,12,1216.367491
13,13,1222.667178
15,15,1228.850841
25,25,1239.524762
13,13,1245.665979
15,15,1251.832996
13,13,1258.275168
15,15,1265.648807
17,17,1273.891377
15,15,1280.099931
13,13,1286.531947
17,17,1295.151963
11,11,1301.264667
19,19,1309.165778
14,14,1315.431239
11,11,1321.656822
12,12,1328.164592
14,14,1334.281223
11,11,1340.415333
14,14,1346.881562
14,14,1353.472744
